[[43.64939, -79.379423], 1]
[[43.649436, -79.393837], 1]
[[43.649441, -79.388367], 1]
[[43.649506, -79.385963], 1]
[[43.649515, -79.385993], 1]
[[43.649516, -79.392369], 1]
[[43.649532, -79.393672], 1]
[[43.64955, -79.3917], 1]
[[43.649552, -79.388309], 1]
[[43.649566, -79.390898], 1]
[[43.649619, -79.39292], 1]
[[43.649625, -79.383087], 1]
[[43.649655, -79.386856], 1]
[[43.649688, -79.38672], 1]
[[43.649722, -79.391112], 1]
[[43.64973, -79.386964], 1]
[[43.649733, -79.394475], 1]
[[43.64975, -79.386848], 1]
[[43.64978, -79.378173], 1]
[[43.649791, -79.376923], 1]
[[43.649798, -79.384081], 1]
[[43.6498, -79.379478], 1]
[[43.649825, -79.390939], 1]
[[43.649841, -79.391], 1]
[[43.649844, -79.361489], 1]
[[43.649865, -79.390905], 1]
[[43.649865, -79.3899], 1]
[[43.649869, -79.394009], 1]
[[43.649875, -79.391], 1]
[[43.64988, -79.390976], 1]
[[43.649909, -79.390398], 1]
[[43.64992, -79.390912], 1]
[[43.649924, -79.390928], 1]
[[43.64995, -79.390861], 1]
[[43.649991, -79.391038], 1]
[[43.650033, -79.390403], 1]
[[43.650036, -79.390459], 1]
[[43.650058, -79.380705], 1]
[[43.650105, -79.380523], 1]
[[43.65013, -79.380845], 1]
[[43.650138, -79.389314], 1]
[[43.650183, -79.363137], 1]
[[43.650197, -79.389289], 1]
[[43.650219, -79.386956], 1]
[[43.650292, -79.374309], 1]
[[43.650321, -79.372991], 1]
[[43.65033, -79.389213], 1]
[[43.650408, -79.372581], 1]
[[43.650425, -79.38862], 1]
[[43.650486, -79.380784], 1]
[[43.650523, -79.372937], 1]
[[43.650544, -79.388092], 1]
[[43.650555, -79.394167], 1]
[[43.650555, -79.378167], 1]
[[43.650563, -79.386492], 1]
[[43.650575, -79.387337], 1]
[[43.650583, -79.384156], 1]
[[43.650627, -79.380645], 1]
[[43.650672, -79.388848], 1]
[[43.6507, -79.386909], 1]
[[43.650707, -79.381065], 1]
[[43.650755, -79.388839], 1]
[[43.65076, -79.38093], 1]
[[43.650791, -79.374717], 1]
[[43.650833, -79.371667], 1]
[[43.650895, -79.386638], 1]
[[43.6509, -79.386192], 1]
[[43.650911, -79.382062], 1]
[[43.650956, -79.375472], 1]
[[43.65102, -79.390275], 1]
[[43.651022, -79.376439], 1]
[[43.651066, -79.380468], 1]
[[43.651216, -79.364489], 1]
[[43.651276, -79.385308], 1]
[[43.651294, -79.386956], 1]
[[43.651297, -79.385845], 1]
[[43.651311, -79.381431], 1]
